CTDD_prop1.G1.residue0,CTDD_prop1.G1.residue25,CTDD_prop1.G1.residue50,CTDD_prop1.G1.residue75,CTDD_prop1.G1.residue100,CTDD_prop1.G2.residue0,CTDD_prop1.G2.residue25,CTDD_prop1.G2.residue50,CTDD_prop1.G2.residue75,CTDD_prop1.G2.residue100,CTDD_prop1.G3.residue0,CTDD_prop1.G3.residue25,CTDD_prop1.G3.residue50,CTDD_prop1.G3.residue75,CTDD_prop1.G3.residue100,CTDD_prop2.G1.residue0,CTDD_prop2.G1.residue25,CTDD_prop2.G1.residue50,CTDD_prop2.G1.residue75,CTDD_prop2.G1.residue100,CTDD_prop2.G2.residue0,CTDD_prop2.G2.residue25,CTDD_prop2.G2.residue50,CTDD_prop2.G2.residue75,CTDD_prop2.G2.residue100,CTDD_prop2.G3.residue0,CTDD_prop2.G3.residue25,CTDD_prop2.G3.residue50,CTDD_prop2.G3.residue75,CTDD_prop2.G3.residue100,CTDD_prop3.G1.residue0,CTDD_prop3.G1.residue25,CTDD_prop3.G1.residue50,CTDD_prop3.G1.residue75,CTDD_prop3.G1.residue100,CTDD_prop3.G2.residue0,CTDD_prop3.G2.residue25,CTDD_prop3.G2.residue50,CTDD_prop3.G2.residue75,CTDD_prop3.G2.residue100,CTDD_prop3.G3.residue0,CTDD_prop3.G3.residue25,CTDD_prop3.G3.residue50,CTDD_prop3.G3.residue75,CTDD_prop3.G3.residue100,CTDD_prop4.G1.residue0,CTDD_prop4.G1.residue25,CTDD_prop4.G1.residue50,CTDD_prop4.G1.residue75,CTDD_prop4.G1.residue100,CTDD_prop4.G2.residue0,CTDD_prop4.G2.residue25,CTDD_prop4.G2.residue50,CTDD_prop4.G2.residue75,CTDD_prop4.G2.residue100,CTDD_prop4.G3.residue0,CTDD_prop4.G3.residue25,CTDD_prop4.G3.residue50,CTDD_prop4.G3.residue75,CTDD_prop4.G3.residue100,CTDD_prop5.G1.residue0,CTDD_prop5.G1.residue25,CTDD_prop5.G1.residue50,CTDD_prop5.G1.residue75,CTDD_prop5.G1.residue100,CTDD_prop5.G2.residue0,CTDD_prop5.G2.residue25,CTDD_prop5.G2.residue50,CTDD_prop5.G2.residue75,CTDD_prop5.G2.residue100,CTDD_prop5.G3.residue0,CTDD_prop5.G3.residue25,CTDD_prop5.G3.residue50,CTDD_prop5.G3.residue75,CTDD_prop5.G3.residue100,CTDD_prop6.G1.residue0,CTDD_prop6.G1.residue25,CTDD_prop6.G1.residue50,CTDD_prop6.G1.residue75,CTDD_prop6.G1.residue100,CTDD_prop6.G2.residue0,CTDD_prop6.G2.residue25,CTDD_prop6.G2.residue50,CTDD_prop6.G2.residue75,CTDD_prop6.G2.residue100,CTDD_prop6.G3.residue0,CTDD_prop6.G3.residue25,CTDD_prop6.G3.residue50,CTDD_prop6.G3.residue75,CTDD_prop6.G3.residue100,CTDD_prop7.G1.residue0,CTDD_prop7.G1.residue25,CTDD_prop7.G1.residue50,CTDD_prop7.G1.residue75,CTDD_prop7.G1.residue100,CTDD_prop7.G2.residue0,CTDD_prop7.G2.residue25,CTDD_prop7.G2.residue50,CTDD_prop7.G2.residue75,CTDD_prop7.G2.residue100,CTDD_prop7.G3.residue0,CTDD_prop7.G3.residue25,CTDD_prop7.G3.residue50,CTDD_prop7.G3.residue75,CTDD_prop7.G3.residue100
HL41_00015,0.666666666666667,31.6666666666667,52.6666666666667,76,100,1.66666666666667,24,49,70.6666666666667,99.6666666666667,0.333333333333333,19.6666666666667,48.3333333333333,74.6666666666667,98.3333333333333,1.66666666666667,22,54,73.6666666666667,99.6666666666667,1.33333333333333,25,48.3333333333333,77.6666666666667,98.3333333333333,0.333333333333333,28,46,70.3333333333333,100,0.333333333333333,21,44.6666666666667,71.6666666666667,98.3333333333333,1.66666666666667,22.6666666666667,54,73.6666666666667,99.6666666666667,0.666666666666667,31.6666666666667,52.3333333333333,76,100,1.66666666666667,23.3333333333333,55.6666666666667,78,99.6666666666667,1.33333333333333,24.3333333333333,48.6666666666667,76.6666666666667,98.3333333333333,0.333333333333333,28,46,70.3333333333333,100,0.666666666666667,30.3333333333333,47.3333333333333,73,100,0.333333333333333,24,49.6666666666667,73.6666666666667,99.6666666666667,6,24.6666666666667,45.3333333333333,76.6666666666667,97.6666666666667,0.333333333333333,29,54.3333333333333,80,100,1.33333333333333,21,43.6666666666667,72,98.3333333333333,1.66666666666667,23.3333333333333,49,70,99.6666666666667,1.33333333333333,22.3333333333333,50.3333333333333,77.6666666666667,99.6666666666667,0.666666666666667,31.6666666666667,52.6666666666667,76,100,0.333333333333333,21.6666666666667,42.3333333333333,65,95.6666666666667
HL41_00025,0.943396226415094,25.7861635220126,48.7421383647799,72.3270440251572,100,0.628930817610063,26.1006289308176,51.2578616352201,76.4150943396226,99.685534591195,0.314465408805031,20.125786163522,49.3710691823899,73.5849056603774,99.3710691823899,0.628930817610063,20.7547169811321,50.6289308176101,77.3584905660377,99.685534591195,1.88679245283019,27.6729559748428,49.685534591195,72.6415094339623,99.3710691823899,0.314465408805031,24.2138364779874,47.7987421383648,69.496855345912,100,0.314465408805031,20.440251572327,49.3710691823899,73.8993710691824,99.3710691823899,0.628930817610063,26.1006289308176,52.2012578616352,77.3584905660377,99.685534591195,0.943396226415094,24.8427672955975,48.7421383647799,72.0125786163522,100,0.628930817610063,18.5534591194969,43.7106918238994,76.4150943396226,99.685534591195,1.25786163522013,29.2452830188679,52.8301886792453,74.2138364779874,99.3710691823899,0.314465408805031,24.2138364779874,47.7987421383648,69.496855345912,100,0.943396226415094,26.4150943396226,58.1761006289308,80.503144654088,100,0.314465408805031,24.2138364779874,49.685534591195,75.4716981132076,99.685534591195,5.66037735849057,19.1823899371069,46.2264150943396,72.0125786163522,93.3962264150943,0.314465408805031,25.7861635220126,50,72.9559748427673,100,2.51572327044025,19.4968553459119,48.1132075471698,71.6981132075472,98.1132075471698,0.628930817610063,21.3836477987421,50.6289308176101,78.9308176100629,99.685534591195,1.88679245283019,21.0691823899371,51.8867924528302,75.7861635220126,99.685534591195,0.943396226415094,25.7861635220126,48.7421383647799,72.3270440251572,100,0.314465408805031,25.4716981132075,46.8553459119497,67.9245283018868,97.7987421383648
HL41_00035,1.34228187919463,19.4630872483221,51.006711409396,77.8523489932886,96.6442953020134,3.35570469798658,26.8456375838926,51.6778523489933,66.4429530201342,98.6577181208054,0.671140939597315,24.8322147651007,46.3087248322148,73.8255033557047,100,3.35570469798658,24.1610738255034,45.6375838926174,71.8120805369127,98.6577181208054,1.34228187919463,23.489932885906,46.9798657718121,75.1677852348993,100,0.671140939597315,15.4362416107383,53.6912751677852,71.1409395973154,97.3154362416107,0.671140939597315,24.8322147651007,46.9798657718121,73.8255033557047,100,3.35570469798658,22.8187919463087,49.6644295302013,65.7718120805369,98.6577181208054,1.34228187919463,19.4630872483221,51.006711409396,74.496644295302,96.6442953020134,3.35570469798658,22.8187919463087,44.9664429530201,60.4026845637584,98.6577181208054,1.34228187919463,24.1610738255034,47.6510067114094,75.8389261744966,100,0.671140939597315,15.4362416107383,53.6912751677852,71.1409395973154,97.3154362416107,2.01342281879195,15.4362416107383,53.6912751677852,83.8926174496644,95.9731543624161,0.671140939597315,24.1610738255034,46.9798657718121,71.1409395973154,100,11.4093959731544,27.5167785234899,48.993288590604,77.8523489932886,96.6442953020134,0.671140939597315,20.8053691275168,55.7046979865772,77.8523489932886,99.3288590604027,4.02684563758389,29.5302013422819,50.3355704697987,73.8255033557047,100,6.04026845637584,14.0939597315436,42.2818791946309,65.7718120805369,98.6577181208054,3.35570469798658,24.1610738255034,44.9664429530201,75.1677852348993,100,1.34228187919463,19.4630872483221,51.006711409396,77.8523489932886,96.6442953020134,0.671140939597315,32.2147651006711,55.0335570469799,66.4429530201342,97.3154362416107
HL41_00040,0.958466453674121,19.1693290734824,48.5623003194888,70.926517571885,99.3610223642172,1.59744408945687,24.6006389776358,55.591054313099,75.3993610223642,97.7635782747604,0.319488817891374,25.2396166134185,46.9648562300319,74.7603833865815,100,1.59744408945687,23.3226837060703,54.6325878594249,77.3162939297125,97.7635782747604,0.638977635782748,24.2811501597444,46.3258785942492,70.6070287539936,100,0.319488817891374,29.073482428115,50.1597444089457,75.7188498402556,98.0830670926518,0.319488817891374,26.517571884984,48.8817891373802,74.7603833865815,100,1.59744408945687,23.3226837060703,54.3130990415335,75.3993610223642,97.7635782747604,0.958466453674121,20.4472843450479,48.5623003194888,70.926517571885,99.3610223642172,1.59744408945687,22.0447284345048,54.6325878594249,76.3578274760383,97.7635782747604,0.638977635782748,24.9201277955272,46.6453674121406,71.5654952076677,100,0.319488817891374,29.073482428115,50.1597444089457,75.7188498402556,98.0830670926518,11.1821086261981,20.4472843450479,47.2843450479233,72.2044728434505,98.0830670926518,0.319488817891374,25.5591054313099,50.4792332268371,75.3993610223642,100,0.958466453674121,6.38977635782748,21.7252396166134,57.8274760383387,90.0958466453674,0.319488817891374,23.0031948881789,46.3258785942492,69.6485623003195,100,0.638977635782748,31.9488817891374,55.2715654952077,79.8722044728434,99.6805111821086,2.87539936102236,22.6837060702875,44.408945686901,72.5239616613419,99.3610223642172,0.638977635782748,23.0031948881789,46.9648562300319,75.7188498402556,100,0.958466453674121,19.1693290734824,48.5623003194888,70.926517571885,99.3610223642172,0.319488817891374,30.6709265175719,54.6325878594249,74.4408945686901,97.7635782747604
HL41_00045,1.37614678899083,23.8532110091743,52.7522935779817,73.394495412844,100,3.21100917431193,20.6422018348624,44.4954128440367,70.1834862385321,99.0825688073395,0.458715596330275,28.8990825688073,53.2110091743119,76.1467889908257,99.5412844036697,3.21100917431193,20.6422018348624,48.6238532110092,81.651376146789,99.0825688073395,0.917431192660551,23.394495412844,50.9174311926606,72.4770642201835,99.5412844036697,0.458715596330275,27.5229357798165,46.7889908256881,72.9357798165138,100,0.458715596330275,28.8990825688073,50,76.1467889908257,99.5412844036697,3.21100917431193,13.7614678899083,35.3211009174312,70.1834862385321,99.0825688073395,1.37614678899083,24.3119266055046,52.7522935779817,73.394495412844,100,3.21100917431193,20.6422018348624,50.4587155963303,87.1559633027523,99.0825688073395,0.917431192660551,22.9357798165138,48.1651376146789,72.0183486238532,99.5412844036697,0.458715596330275,27.5229357798165,46.7889908256881,72.9357798165138,100,1.8348623853211,24.3119266055046,52.2935779816514,72.9357798165138,100,0.458715596330275,23.394495412844,48.1651376146789,73.8532110091743,99.5412844036697,1.37614678899083,23.8532110091743,53.6697247706422,74.7706422018349,98.1651376146789,0.458715596330275,17.8899082568807,45.4128440366973,71.1009174311927,100,7.3394495412844,29.8165137614679,50,73.8532110091743,96.7889908256881,3.21100917431193,31.651376146789,52.7522935779817,87.1559633027523,99.0825688073395,0.917431192660551,25.2293577981651,47.7064220183486,73.8532110091743,99.5412844036697,1.37614678899083,23.8532110091743,52.7522935779817,73.394495412844,100,0.458715596330275,21.1009174311927,46.7889908256881,77.5229357798165,99.0825688073395
HL41_00050,2.25563909774436,23.3082706766917,48.1203007518797,75.187969924812,100,1.50375939849624,17.2932330827068,46.6165413533835,65.4135338345865,98.4962406015038,0.75187969924812,27.8195488721805,52.6315789473684,78.1954887218045,96.2406015037594,1.50375939849624,18.0451127819549,46.6165413533835,64.6616541353384,98.4962406015038,3.00751879699248,28.5714285714286,54.1353383458647,78.1954887218045,97.7443609022556,0.75187969924812,21.0526315789474,44.3609022556391,74.4360902255639,100,0.75187969924812,27.8195488721805,52.6315789473684,78.1954887218045,96.2406015037594,1.50375939849624,15.7894736842105,46.6165413533835,65.4135338345865,98.4962406015038,2.25563909774436,23.3082706766917,48.1203007518797,74.4360902255639,100,1.50375939849624,15.0375939849624,36.8421052631579,64.6616541353384,98.4962406015038,3.00751879699248,30.0751879699248,56.390977443609,75.187969924812,97.7443609022556,0.75187969924812,21.0526315789474,44.3609022556391,74.4360902255639,100,2.25563909774436,21.0526315789474,40.6015037593985,58.6466165413534,100,0.75187969924812,27.8195488721805,51.1278195488722,75.187969924812,98.4962406015038,5.26315789473684,18.0451127819549,34.5864661654135,67.6691729323308,96.9924812030075,0.75187969924812,20.3007518796992,46.6165413533835,70.6766917293233,100,3.00751879699248,29.3233082706767,54.1353383458647,79.6992481203008,96.2406015037594,1.50375939849624,27.0676691729323,49.6240601503759,66.1654135338346,93.984962406015,1.50375939849624,27.8195488721805,52.6315789473684,78.1954887218045,98.4962406015038,2.25563909774436,23.3082706766917,48.1203007518797,75.187969924812,100,0.75187969924812,17.2932330827068,39.0977443609023,65.4135338345865,93.2330827067669
HL41_00070,0.785854616895874,28.4872298624754,57.1709233791749,81.139489194499,100,1.17878192534381,23.5756385068762,49.3123772102161,70.1375245579568,98.4282907662082,0.196463654223969,21.8074656188605,44.5972495088409,70.9233791748527,99.6070726915521,1.17878192534381,22.0039292730845,46.9548133595285,69.7445972495088,98.4282907662082,0.589390962671906,25.7367387033399,47.5442043222004,76.2278978388998,100,0.196463654223969,29.8624754420432,56.188605108055,79.1748526522593,99.6070726915521,0.196463654223969,23.9685658153242,46.7583497053045,71.7092337917485,99.6070726915521,1.17878192534381,21.0216110019646,46.5618860510805,68.3693516699411,98.4282907662082,0.785854616895874,30.0589390962672,57.1709233791749,81.139489194499,100,1.17878192534381,19.4499017681729,43.811394891945,69.7445972495088,98.4282907662082,0.589390962671906,26.7190569744597,49.5088408644401,74.4597249508841,100,0.196463654223969,29.8624754420432,56.188605108055,79.1748526522593,99.6070726915521,0.785854616895874,25.3438113948919,60.9037328094303,82.5147347740668,99.0176817288802,0.196463654223969,24.1650294695481,49.1159135559921,71.7092337917485,99.803536345776,2.75049115913556,25.5402750491159,40.2750491159136,75.4420432220039,100,0.196463654223969,28.2907662082515,51.0805500982318,81.335952848723,100,0.392927308447937,26.1296660117878,51.4734774066798,72.2986247544204,99.6070726915521,1.17878192534381,17.8781925343811,43.4184675834971,65.0294695481336,99.2141453831041,0.392927308447937,21.4145383104126,43.811394891945,69.7445972495088,99.6070726915521,0.785854616895874,28.4872298624754,57.1709233791749,81.139489194499,100,0.196463654223969,27.3084479371316,51.2770137524558,70.3339882121807,98.4282907662082
HL41_00075,1.61290322580645,19.3548387096774,55.6451612903226,64.5161290322581,95.1612903225806,6.45161290322581,27.4193548387097,47.5806451612903,67.741935483871,100,0.806451612903226,20.9677419354839,46.7741935483871,78.2258064516129,98.3870967741936,6.45161290322581,27.4193548387097,45.9677419354839,66.1290322580645,100,4.83870967741935,20.9677419354839,61.2903225806452,81.4516129032258,98.3870967741936,0.806451612903226,3.2258064516129,29.8387096774194,58.8709677419355,92.741935483871,0.806451612903226,25,48.3870967741936,79.0322580645161,98.3870967741936,6.45161290322581,26.6129032258065,45.9677419354839,66.1290322580645,100,1.61290322580645,19.3548387096774,52.4193548387097,61.2903225806452,95.1612903225806,6.45161290322581,26.6129032258065,44.3548387096774,63.7096774193548,100,4.83870967741935,20.9677419354839,60.4838709677419,82.258064516129,98.3870967741936,0.806451612903226,3.2258064516129,29.8387096774194,58.8709677419355,92.741935483871,1.61290322580645,1.61290322580645,24.1935483870968,58.8709677419355,92.741935483871,0.806451612903226,26.6129032258065,49.1935483870968,76.6129032258064,100,19.3548387096774,19.3548387096774,20.1612903225806,55.6451612903226,75,0.806451612903226,18.5483870967742,50,73.3870967741936,100,3.2258064516129,29.8387096774194,54.8387096774194,77.4193548387097,95.9677419354839,6.45161290322581,27.4193548387097,45.9677419354839,63.7096774193548,99.1935483870968,3.2258064516129,27.4193548387097,45.9677419354839,74.1935483870968,100,1.61290322580645,19.3548387096774,55.6451612903226,64.5161290322581,95.1612903225806,0.806451612903226,25,51.6129032258064,75.8064516129032,91.9354838709677
HL41_00080,0.8,25.2,34.8,70.8,99.2,1.2,22.4,50.8,72,100,0.4,25.6,50.4,76.8,98.4,1.6,23.6,51.2,73.2,98,0.8,26,52.4,78.4,99.2,0.4,22.4,43.6,67.2,100,0.4,24.8,50,76,98.4,1.6,26.4,52,74.8,98,0.8,17.2,34.8,70.8,100,6.4,27.2,54.8,77.6,98,0.8,25.2,48.4,76,99.2,0.4,22.4,43.6,67.2,100,5.6,24,34,64,84.8,0.4,26,50.8,75.2,100,0.8,10,29.6,36.8,99.2,0.4,17.2,52,79.6,100,2,27.6,47.2,71.2,98.4,1.6,28.4,49.2,72,97.6,2,26,52.8,77.2,98.4,0.8,25.2,34.8,70.8,99.2,0.4,17.6,49.2,69.2,100
HL41_00085,2.04081632653061,25.8503401360544,46.2585034013605,56.4625850340136,97.9591836734694,4.08163265306122,26.530612244898,53.7414965986395,74.1496598639456,100,0.680272108843537,21.0884353741497,47.6190476190476,77.5510204081633,99.3197278911565,4.08163265306122,23.8095238095238,40.8163265306122,72.108843537415,100,1.36054421768707,19.7278911564626,46.9387755102041,70.7482993197279,99.3197278911565,0.680272108843537,28.5714285714286,55.1020408163265,80.9523809523809,97.2789115646258,0.680272108843537,22.4489795918367,53.7414965986395,77.5510204081633,99.3197278911565,4.08163265306122,23.1292517006803,38.0952380952381,74.1496598639456,100,2.04081632653061,25.8503401360544,46.9387755102041,60.5442176870748,97.9591836734694,4.08163265306122,23.8095238095238,40.8163265306122,72.108843537415,100,1.36054421768707,19.7278911564626,46.9387755102041,70.7482993197279,99.3197278911565,0.680272108843537,28.5714285714286,55.1020408163265,80.9523809523809,97.2789115646258,2.04081632653061,36.734693877551,51.7006802721088,63.265306122449,97.2789115646258,0.680272108843537,24.4897959183673,51.0204081632653,74.8299319727891,100,2.72108843537415,8.84353741496599,40.1360544217687,50.3401360544218,97.9591836734694,0.680272108843537,24.4897959183673,53.0612244897959,73.469387755102,99.3197278911565,1.36054421768707,22.4489795918367,48.2993197278912,76.8707482993197,100,4.08163265306122,23.1292517006803,35.3741496598639,54.421768707483,88.4353741496599,1.36054421768707,22.4489795918367,45.578231292517,73.469387755102,99.3197278911565,2.04081632653061,25.8503401360544,46.2585034013605,56.4625850340136,97.9591836734694,0.680272108843537,26.530612244898,58.5034013605442,79.5918367346939,100
