QSO_Schneider.Xr.A,QSO_Schneider.Xr.R,QSO_Schneider.Xr.N,QSO_Schneider.Xr.D,QSO_Schneider.Xr.C,QSO_Schneider.Xr.E,QSO_Schneider.Xr.Q,QSO_Schneider.Xr.G,QSO_Schneider.Xr.H,QSO_Schneider.Xr.I,QSO_Schneider.Xr.L,QSO_Schneider.Xr.K,QSO_Schneider.Xr.M,QSO_Schneider.Xr.F,QSO_Schneider.Xr.P,QSO_Schneider.Xr.S,QSO_Schneider.Xr.T,QSO_Schneider.Xr.W,QSO_Schneider.Xr.Y,QSO_Schneider.Xr.V,QSO_Grantham.Xr.A,QSO_Grantham.Xr.R,QSO_Grantham.Xr.N,QSO_Grantham.Xr.D,QSO_Grantham.Xr.C,QSO_Grantham.Xr.E,QSO_Grantham.Xr.Q,QSO_Grantham.Xr.G,QSO_Grantham.Xr.H,QSO_Grantham.Xr.I,QSO_Grantham.Xr.L,QSO_Grantham.Xr.K,QSO_Grantham.Xr.M,QSO_Grantham.Xr.F,QSO_Grantham.Xr.P,QSO_Grantham.Xr.S,QSO_Grantham.Xr.T,QSO_Grantham.Xr.W,QSO_Grantham.Xr.Y,QSO_Grantham.Xr.V,QSO_Schneider.Xd.1,QSO_Schneider.Xd.2,QSO_Schneider.Xd.3,QSO_Schneider.Xd.4,QSO_Schneider.Xd.5,QSO_Schneider.Xd.6,QSO_Schneider.Xd.7,QSO_Schneider.Xd.8,QSO_Schneider.Xd.9,QSO_Schneider.Xd.10,QSO_Schneider.Xd.11,QSO_Schneider.Xd.12,QSO_Schneider.Xd.13,QSO_Schneider.Xd.14,QSO_Schneider.Xd.15,QSO_Schneider.Xd.16,QSO_Schneider.Xd.17,QSO_Schneider.Xd.18,QSO_Schneider.Xd.19,QSO_Schneider.Xd.20,QSO_Schneider.Xd.21,QSO_Schneider.Xd.22,QSO_Schneider.Xd.23,QSO_Schneider.Xd.24,QSO_Schneider.Xd.25,QSO_Schneider.Xd.26,QSO_Schneider.Xd.27,QSO_Schneider.Xd.28,QSO_Schneider.Xd.29,QSO_Schneider.Xd.30,QSO_Grantham.Xd.1,QSO_Grantham.Xd.2,QSO_Grantham.Xd.3,QSO_Grantham.Xd.4,QSO_Grantham.Xd.5,QSO_Grantham.Xd.6,QSO_Grantham.Xd.7,QSO_Grantham.Xd.8,QSO_Grantham.Xd.9,QSO_Grantham.Xd.10,QSO_Grantham.Xd.11,QSO_Grantham.Xd.12,QSO_Grantham.Xd.13,QSO_Grantham.Xd.14,QSO_Grantham.Xd.15,QSO_Grantham.Xd.16,QSO_Grantham.Xd.17,QSO_Grantham.Xd.18,QSO_Grantham.Xd.19,QSO_Grantham.Xd.20,QSO_Grantham.Xd.21,QSO_Grantham.Xd.22,QSO_Grantham.Xd.23,QSO_Grantham.Xd.24,QSO_Grantham.Xd.25,QSO_Grantham.Xd.26,QSO_Grantham.Xd.27,QSO_Grantham.Xd.28,QSO_Grantham.Xd.29,QSO_Grantham.Xd.30
TOPB45_0001,0.0218411024111229,0.047653314351541,0.047653314351541,0.0297833214697131,0.00794221905859016,0.0893499644091393,0.0337544309990082,0.0456677595868934,0.00794221905859016,0.0655233072333688,0.1211188406435,0.0853788548798442,0.0119133285878852,0.047653314351541,0.025812211940418,0.0635377524687213,0.0317688762343606,0.00595666429394262,0.0416966500575984,0.0575810881747787,8.44593952589056e-07,1.84275044201249e-06,1.84275044201249e-06,1.1517190262578e-06,3.07125073668748e-07,3.45515707877341e-06,1.30528156309218e-06,1.7659691735953e-06,3.07125073668748e-07,2.53378185776717e-06,4.6836573734484e-06,3.30159454193904e-06,4.60687610503122e-07,1.84275044201249e-06,9.9815648942343e-07,2.45700058934998e-06,1.22850029467499e-06,2.30343805251561e-07,1.61240663676093e-06,2.22665678409842e-06,0.0344232659157016,0.0364823985890408,0.0371043714349564,0.0318088180511173,0.0338098261899426,0.037271291067356,0.0353262130279187,0.0313047182594714,0.0320141982764191,0.0360346103218532,0.035787426425092,0.0346076312279299,0.0332732830291088,0.0342709986846877,0.0331687038596548,0.0313108800315725,0.0340942997979612,0.0320613468627494,0.0318236265171075,0.0340272311334545,0.0339511955050752,0.0330741005144494,0.0322200736990792,0.029474866331247,0.0311937178059085,0.0314152677935472,0.0337573249450777,0.0314912786024919,0.0313808466132582,0.0300506347221228,0.0353388398453229,0.0368881476356986,0.0377910492835237,0.0319407005364761,0.0354798486447711,0.0364521298467379,0.0336290975945895,0.030594425454176,0.0332012877232226,0.0364179621822923,0.0346564923910262,0.0323334444025569,0.030780796627005,0.034786751812896,0.0345709887705168,0.0313193711561905,0.032806401659753,0.0333006196501739,0.0323377902223493,0.0326763879379422,0.0344877271630452,0.033311384384006,0.0325906155829934,0.0309626300268706,0.0292193036493315,0.0312782240744458,0.0348045650671688,0.0318816019941754,0.0314771413065342,0.0326841965929402
TOPB45_0002,0.0348589118899297,0.0426053367543585,0.0290490932416081,0.0329223056738225,0.00968303108053603,0.0987669170214675,0.00774642486442882,0.0716544299959666,0.00968303108053603,0.0677812175637522,0.112323160534218,0.0852106735087171,0.00774642486442882,0.0484151554026802,0.0484151554026802,0.0580981864832162,0.0348589118899297,0.00580981864832162,0.0251758808093937,0.0619713989154306,1.32404833161856e-06,1.61828129420046e-06,1.10337360968213e-06,1.25049009097308e-06,3.67791203227377e-07,3.75147027291924e-06,2.94232962581901e-07,2.72165490388259e-06,3.67791203227377e-07,2.57453842259164e-06,4.26637795743757e-06,3.23656258840091e-06,2.94232962581901e-07,1.83895601613688e-06,1.83895601613688e-06,2.20674721936426e-06,1.32404833161856e-06,2.20674721936426e-07,9.56257128391179e-07,2.35386370065521e-06,0.0319902149717433,0.0351297356179181,0.0338382884600386,0.0335545266532417,0.0364009615083315,0.0334408064249832,0.032562251265142,0.0345879156103275,0.0340954575649185,0.0327922968443409,0.0318888355729363,0.0319771922632431,0.0337630197418616,0.0347951342183965,0.032943584134622,0.0330279591625484,0.0343030228255003,0.0361661174062503,0.0331419284383664,0.0314954207982559,0.0341955086455219,0.0330395966166223,0.0332692866349199,0.0306758019880682,0.032149998347155,0.03226438418697,0.031894294091217,0.0343303638320593,0.0331271122388494,0.0312223777195438,0.0333878426867871,0.0335743054709993,0.0348026913106585,0.0341562173569216,0.0354388009082883,0.0333250680842203,0.032798994258772,0.0346708234526533,0.0341095667207043,0.032703839318673,0.0329938426824178,0.0328526255720266,0.0322955322364981,0.0358107187288159,0.0349714044914029,0.032334841760299,0.0319630416329565,0.0343637030863103,0.0325317056797385,0.0330916677866522,0.0331345669525966,0.033343840147233,0.032960704695007,0.0324941100629446,0.0331438720700383,0.0326513408023243,0.0324277311065861,0.0334451739795462,0.0323138629500669,0.031907490449621
TOPB45_0003,0.0459536950688211,0.038883895827464,0.038883895827464,0.0459536950688211,0.0247442973447498,0.0671630927928924,0.0176744981033927,0.0353489962067855,0.0212093977240713,0.077767791654928,0.102512088999678,0.106046988620356,0.0247442973447498,0.0636281931722138,0.0353489962067855,0.0318140965861069,0.0247442973447498,0.0141395984827142,0.038883895827464,0.0318140965861069,1.66516187269125e-06,1.40898312304644e-06,1.40898312304644e-06,1.66516187269125e-06,8.96625623756828e-07,2.43369812162568e-06,6.4044687411202e-07,1.28089374822404e-06,7.68536248934424e-07,2.81796624609289e-06,3.71459186984972e-06,3.84268124467212e-06,8.96625623756828e-07,2.30560874680327e-06,1.28089374822404e-06,1.15280437340164e-06,8.96625623756828e-07,5.12357499289616e-07,1.40898312304644e-06,1.15280437340164e-06,0.033305612132056,0.0348901725988407,0.035362680510197,0.0337238098456403,0.0354560803349545,0.0381308575752307,0.0352669388144408,0.039158648021421,0.0339242983939363,0.0358524991784858,0.0331758908602061,0.0341101623555217,0.030095819703921,0.0327118211077343,0.0327290738923129,0.0319776592194754,0.034102098895997,0.0314454910397711,0.0323353988378672,0.0336630742608276,0.0353162298082415,0.032348307584302,0.0285158705136915,0.0337040843987769,0.032374243142819,0.0296683994372264,0.0273967474520419,0.0307527408540584,0.0321623955480818,0.0328079940612442,0.0355765292513606,0.0344797383615688,0.0351561911589434,0.0324421822494564,0.0354549852435917,0.0362348574021979,0.0350431266677877,0.036122266841729,0.0339884515644375,0.0362963403021126,0.0323832483281006,0.0340327320613136,0.0298493074617389,0.0340904235157336,0.0323311031436104,0.0340488713225412,0.0340149916829007,0.0316297497717703,0.0322113908139014,0.0334051965961837,0.0339704165804625,0.0342532251111329,0.0287766998459136,0.0329811823387091,0.0336926803890351,0.0315007765802617,0.0287631992258073,0.0318231391098772,0.032815729293251,0.0326311396951944
TOPB45_0004,0.0796589659468037,0.0265529886489346,0.0424847818382953,0.0318635863787215,0.0106211954595738,0.0743483682170168,0.0265529886489346,0.0584165750276561,0,0.0531059772978691,0.132764943244673,0.100901356865951,0.0159317931893607,0.063727172757443,0.063727172757443,0.0690377704872299,0.0371741841085084,0.00531059772978691,0.0743483682170168,0.063727172757443,2.8003150765174e-06,9.33438358839132e-07,1.49350137414261e-06,1.12012603060696e-06,3.73375343535653e-07,2.61362740474957e-06,9.33438358839132e-07,2.05356438944609e-06,0,1.86687671767826e-06,4.66719179419566e-06,3.5470657635887e-06,5.60063015303479e-07,2.24025206121392e-06,2.24025206121392e-06,2.42693973298174e-06,1.30681370237478e-06,1.86687671767826e-07,2.61362740474957e-06,2.24025206121392e-06,0.0360674645696369,0.0387944448205675,0.0321917016594564,0.0349845630615836,0.0359160169435789,0.0330865225072518,0.0341538198859958,0.0368131850755709,0.0384123191677414,0.0355731785616979,0.0346028181786147,0.0331553048379883,0.0318595290820559,0.0341618707521541,0.0343922338604768,0.0326935988160617,0.0279466355346682,0.0339928158393229,0.0318613819496039,0.0319907183709542,0.0331089619068993,0.0331273418856421,0.0312663098247696,0.0323344425605364,0.0325908520264847,0.032083661797122,0.0300820183848592,0.0300604934701408,0.0276027780490829,0.0297824188896942,0.0366561616891471,0.0375580871689918,0.0312312979790817,0.0337001677631425,0.0358148536963254,0.034514947437806,0.0322573334231177,0.0378046642458627,0.0374076355743141,0.0336885557899585,0.0339836903302563,0.0345322533849789,0.0330894937200227,0.0344741748502919,0.0357429416051604,0.0322078238525648,0.0308747431947723,0.0355280454261884,0.0332500451177431,0.0320152928566707,0.0341370542526135,0.0326158484279806,0.0311643144424514,0.0315494324405412,0.0324580973453368,0.0309808191298708,0.030325676083336,0.0316349914005124,0.0280187578545337,0.0307826128287549
TOPB45_0005,0.0289694663443801,0.0354071255320202,0.0515012735011203,0.0289694663443801,0.00321882959382002,0.0579389326887603,0.0225318071567401,0.0579389326887603,0.0193129775629201,0.170597968472461,0.106221376596061,0.0740330806578604,0.0128753183752801,0.103002547002241,0.0482824439073002,0.0675954214702204,0.0675954214702204,0.00965648878146005,0.0418447847196602,0.0933460582207805,1.01149133957181e-06,1.23626719281e-06,1.79820682590545e-06,1.01149133957181e-06,1.12387926619091e-07,2.02298267914363e-06,7.86715486333634e-07,2.02298267914363e-06,6.74327559714543e-07,5.9565601108118e-06,3.70880157842999e-06,2.58492231223908e-06,4.49551706476362e-07,3.5964136518109e-06,1.68581889928636e-06,2.3601464590009e-06,2.3601464590009e-06,3.37163779857272e-07,1.46104304604818e-06,3.25924987195363e-06,0.0350261603116777,0.0361206496038585,0.034356811457185,0.0286705545623944,0.0341769406844186,0.033194972340232,0.0324524440386897,0.0340317051618477,0.0342174490110909,0.0349862065893444,0.033801468718661,0.0347492028788196,0.0317226893405075,0.0333883844072165,0.0332261293231683,0.031988905539011,0.0326003453959302,0.0353978965038088,0.0343646814955419,0.0326544178705108,0.032965482665511,0.0338414375694933,0.0321365831875947,0.0350953236250431,0.0343132864434173,0.0316213564004155,0.0307207536307014,0.0324082820185454,0.0303189548576959,0.0322316947738477,0.0366025898516467,0.0353811016711871,0.0343741058486801,0.0297894988744855,0.0358919160364635,0.0328020572475102,0.0324375157687285,0.0350486806618332,0.0348171278166199,0.0349329098586228,0.0333901045959593,0.0348586888718836,0.033756208266921,0.0315172047540228,0.0340411004221077,0.0311459874323999,0.0327899081126427,0.03669878267804,0.0329747525355531,0.0318621345396094,0.0327332084036634,0.0332188815897551,0.030476526269908,0.0357700538076305,0.0325794729588411,0.0324700071183141,0.0314533571729105,0.0334030741626911,0.0310723733404644,0.0317105569429783
TOPB45_0006,0.0588808840108999,0.0654232044565554,0.0654232044565554,0.0327116022282777,0.0327116022282777,0.0457962431195888,0.0261692817826222,0.0981348066848331,0,0.137388729358766,0.0785078453478665,0.0654232044565554,0.0327116022282777,0.0523385635652443,0.0261692817826222,0.104677127130489,0.0457962431195888,0.0130846408913111,0.0392539226739332,0.0523385635652443,1.8605238069112e-06,2.06724867434578e-06,2.06724867434578e-06,1.03362433717289e-06,1.03362433717289e-06,1.44707407204205e-06,8.26899469738311e-07,3.10087301151867e-06,0,4.34122221612614e-06,2.48069840921493e-06,2.06724867434578e-06,1.03362433717289e-06,1.65379893947662e-06,8.26899469738311e-07,3.30759787895325e-06,1.44707407204205e-06,4.13449734869156e-07,1.24034920460747e-06,1.65379893947662e-06,0.0385831496805849,0.0357362687521386,0.0323700545013239,0.0388686558906013,0.0365533555083976,0.0324326102067291,0.0346958991413898,0.0350925855450596,0.0340821935008249,0.0343784834176318,0.0381309621556464,0.0357692655995383,0.0320210812406642,0.0336935351785739,0.0326215969089787,0.0320179304591376,0.0350025219991086,0.0299763496424354,0.0325020870329338,0.0329962127946251,0.027553315560989,0.0304113596508118,0.0316162660038406,0.0297573873363679,0.030735972581292,0.0330095761383674,0.0266054131447229,0.0323808048422802,0.0325679132443298,0.0312948718950196,0.0380372309005551,0.0333861074356578,0.0354155874767233,0.0403722916406624,0.0354265645671841,0.0345902384434907,0.0345225980668662,0.0342372557323462,0.0332676540866178,0.0367001137855015,0.03805827549206,0.0353887339164435,0.034924223139318,0.0320325350211564,0.0320532488528734,0.0324186557285507,0.035060330792037,0.0314554005362526,0.0326432416245317,0.0300714809112118,0.0301889833258616,0.0309746411845467,0.0305854816216011,0.0312765008359747,0.0298272148078511,0.033190525038578,0.0293830250851944,0.0317734053998272,0.0327850755560785,0.029953172269579
TOPB45_0007,0.13148482655043,0.026296965310086,0.105187861240344,0.0394454479651291,0.0788908959302581,0.0525939306201721,0.013148482655043,0.13148482655043,0,0.197227239825645,0.144633309205473,0.0788908959302581,0.013148482655043,0.0657424132752151,0.026296965310086,0.157781791860516,0.118336343895387,0,0.013148482655043,0.0788908959302581,3.16375851347642e-06,6.32751702695285e-07,2.53100681078114e-06,9.49127554042927e-07,1.89825510808585e-06,1.26550340539057e-06,3.16375851347643e-07,3.16375851347642e-06,0,4.74563777021464e-06,3.48013436482407e-06,1.89825510808585e-06,3.16375851347643e-07,1.58187925673821e-06,6.32751702695285e-07,3.79651021617171e-06,2.84738266212878e-06,0,3.16375851347643e-07,1.89825510808585e-06,0.0405694446900471,0.0401289928735237,0.0372355653922685,0.0342951373449146,0.0376430000539969,0.034782571319661,0.0362763599153144,0.0298530026856525,0.0313533563186955,0.0352009941683442,0.0338667847621304,0.0313866022570888,0.0350271804315824,0.032648970983772,0.0367531935833443,0.0311892461621331,0.0316837185196448,0.0327266338114223,0.0327744193419355,0.0293741217988732,0.031019263893217,0.0299849227269788,0.0328159041195604,0.0337209417925206,0.0287833709919682,0.0306806523342499,0.0322798562598935,0.0248921143659597,0.0281816109605362,0.0297235834857272,0.0404732982736161,0.0387199749430326,0.0363696820185412,0.0329403576154436,0.0374274530399369,0.0339324806476846,0.0326168633074406,0.0335783295196861,0.033842408442806,0.0385046495386054,0.0326226846231054,0.0328967293855427,0.0309190639387686,0.0349096074645718,0.0384268843543441,0.031901632420299,0.0309188108380875,0.0368584510712882,0.0338275387777926,0.0276611836095163,0.0302714109334749,0.0347934658895421,0.0307740056109257,0.032401917554035,0.0277949473194661,0.0333349732148295,0.0329213434267776,0.0283243706691112,0.0287180687785282,0.0313170963973491
TOPB45_0008,0.0516804557259368,0.0442975334793744,0.0812121447121864,0.0627548390957804,0.0332231501095308,0.0406060723560932,0.036914611232812,0.0849036058354676,0,0.0922865280820301,0.0775206835889053,0.0627548390957804,0.018457305616406,0.0516804557259368,0.036914611232812,0.0775206835889053,0.0627548390957804,0.0110743833698436,0.073829222465624,0.0775206835889053,1.54465373276608e-06,1.3239889137995e-06,2.42731300863241e-06,1.87565096121595e-06,9.92991685349621e-07,1.2136565043162e-06,1.10332409483291e-06,2.5376454181157e-06,0,2.75831023708228e-06,2.31698059914912e-06,1.87565096121595e-06,5.51662047416456e-07,1.54465373276608e-06,1.10332409483291e-06,2.31698059914912e-06,1.87565096121595e-06,3.30997228449874e-07,2.20664818966583e-06,2.31698059914912e-06,0.0357564500051171,0.033586801851123,0.0335030156505696,0.0343927293956262,0.0383483223143465,0.0325676994405266,0.0344101434943291,0.033930590209557,0.0342724667602752,0.0297022459336747,0.0339355482109917,0.033424937187205,0.0315989470830672,0.032723130625999,0.0334548465126641,0.0319709289758302,0.0321363691889923,0.0338921680056015,0.0335044800531972,0.0347067324616947,0.0346074639040441,0.033623621591805,0.0323934270374809,0.0316458319616479,0.0318094238602256,0.0345497298212221,0.0308986263349634,0.0312227816574132,0.0321928503899091,0.0315462289576195,0.0341527794940597,0.0315023522869702,0.0338930459688951,0.0341985122777905,0.0369408684484615,0.0345746906279238,0.0348131079315763,0.0334047367910039,0.0344911248609812,0.0312791167228626,0.0345087008138119,0.0345030628276873,0.0334533051176585,0.032220483873815,0.0355326848729853,0.0320239487528024,0.0331102816565749,0.0324340322523699,0.0344903525341148,0.0324259228202729,0.0332369322294208,0.031711641834519,0.033986795417233,0.0312491173407241,0.032770535068053,0.0338733626670433,0.0319711436616237,0.0310948836655074,0.0337507723268664,0.0324015945239818
TOPB45_0009,0.0682979881857293,0.0250425956681007,0.143425775190032,0.0500851913362015,0.0182127968495278,0.0295957948804827,0.0295957948804827,0.125212978340504,0.00227659960619098,0.0865107850352571,0.100170382672403,0.0660213885795383,0.0182127968495278,0.0591915897609654,0.0341489940928647,0.0842341854290662,0.0796809862166842,0.00910639842476391,0.0455319921238195,0.0591915897609654,1.97372512636759e-06,7.23699213001448e-07,4.14482276537193e-06,1.4473984260029e-06,5.2632670036469e-07,8.55280888092621e-07,8.55280888092621e-07,3.61849606500724e-06,6.57908375455862e-08,2.50005182673228e-06,2.89479685200579e-06,1.907934288822e-06,5.2632670036469e-07,1.71056177618524e-06,9.86862563183793e-07,2.43426098918669e-06,2.30267931409552e-06,2.63163350182345e-07,1.31581675091172e-06,1.71056177618524e-06,0.0342068902974497,0.0318201977492027,0.0353996238247892,0.0345296652236557,0.0348601921991807,0.0348667510826462,0.0337142726172033,0.0330215821273858,0.0341474906264847,0.0333548860991104,0.0335828294963805,0.0321608530887158,0.0328387984982039,0.0323065636592706,0.0342694371397103,0.0329579165640787,0.031753425765733,0.0340019929179931,0.0321546020015171,0.0311947955756456,0.0329150602594721,0.0318726303423929,0.0344157699049375,0.033268763701968,0.0344443282533774,0.0333045634584353,0.0325242703264114,0.0333812199820752,0.0320713456156189,0.0323826819947635,0.0341312207070819,0.031706104644314,0.0357494253055206,0.0339098740132435,0.0335756762957632,0.0344761686474172,0.0348179849438853,0.0336534279075746,0.0333641324367191,0.0330643367481914,0.0338277736270704,0.0338195760887122,0.0325907874577058,0.0346398299348956,0.0348095768748469,0.0343869167972028,0.0328117854601052,0.0333297106705153,0.0312920697454722,0.0310548082480315,0.0312767075849053,0.0323475389940485,0.0334210744066148,0.0344400692148559,0.0330241319673673,0.0331316210377493,0.0327691529973756,0.0341332075903758,0.0317722244360474,0.032673019425554
TOPB45_0010,0.0427467815371099,0.0142489271790366,0.0332474967510855,0.0189985695720488,0.0284978543580733,0.0284978543580733,0.00474964239301221,0.113991417432293,0.00474964239301221,0.132989987004342,0.21373390768555,0.090243205467232,0.0189985695720488,0.147238914183379,0.0474964239301221,0.0854935630742198,0.0284978543580733,0.0189985695720488,0.0807439206812076,0.0474964239301221,1.18843726600165e-06,3.96145755333885e-07,9.24340095779064e-07,5.2819434044518e-07,7.92291510667769e-07,7.92291510667769e-07,1.32048585111295e-07,3.16916604267108e-06,1.32048585111295e-07,3.69736038311626e-06,5.94218633000827e-06,2.5089231171146e-06,5.2819434044518e-07,4.09350613845014e-06,1.32048585111295e-06,2.37687453200331e-06,7.92291510667769e-07,5.2819434044518e-07,2.24482594689201e-06,1.32048585111295e-06,0.0359301631695092,0.0307322794501916,0.0319924365212645,0.0345011335130813,0.0349598701241825,0.0311335159405546,0.03403216332248,0.0345654759686509,0.0327411098276406,0.0373975191152992,0.0332052401326433,0.0359125567201226,0.0347057994035101,0.0357396635624818,0.0329989835869771,0.0354497363664918,0.0324278846857844,0.0330551842055567,0.0352468378179975,0.0339651463432789,0.0325889830564706,0.0336198672898049,0.033792880138434,0.0313958211162438,0.0325021225463156,0.0316028566032625,0.0298016791663433,0.0313349952959019,0.0292732952240836,0.028645157392429,0.0393345797135185,0.0338630277457054,0.0301627358839996,0.0357819973991182,0.0367942422380059,0.0311087451525955,0.0364873613262073,0.0353720393617817,0.033457334877668,0.037123043214933,0.0325706418335041,0.0356516126261794,0.0341647455578262,0.0350281188218594,0.0328061108704746,0.0343873794723238,0.0317681033526317,0.0329789228538097,0.0345220162097033,0.0348773325425208,0.0322669961120407,0.0317192849907161,0.0338136943943078,0.0305488195371481,0.0318918196720225,0.0313235353811375,0.0294305792989916,0.0303833494551451,0.032563379161323,0.0278183188942167
