kmer_2_AA,kmer_2_AC,kmer_2_AG,kmer_2_AT,kmer_2_CA,kmer_2_CC,kmer_2_CG,kmer_2_CT,kmer_2_GA,kmer_2_GC,kmer_2_GG,kmer_2_GT,kmer_2_TA,kmer_2_TC,kmer_2_TG,kmer_2_TT,kmer_3_AAA,kmer_3_AAC,kmer_3_AAG,kmer_3_AAT,kmer_3_ACA,kmer_3_ACC,kmer_3_ACG,kmer_3_ACT,kmer_3_AGA,kmer_3_AGC,kmer_3_AGG,kmer_3_AGT,kmer_3_ATA,kmer_3_ATC,kmer_3_ATG,kmer_3_ATT,kmer_3_CAA,kmer_3_CAC,kmer_3_CAG,kmer_3_CAT,kmer_3_CCA,kmer_3_CCC,kmer_3_CCG,kmer_3_CCT,kmer_3_CGA,kmer_3_CGC,kmer_3_CGG,kmer_3_CGT,kmer_3_CTA,kmer_3_CTC,kmer_3_CTG,kmer_3_CTT,kmer_3_GAA,kmer_3_GAC,kmer_3_GAG,kmer_3_GAT,kmer_3_GCA,kmer_3_GCC,kmer_3_GCG,kmer_3_GCT,kmer_3_GGA,kmer_3_GGC,kmer_3_GGG,kmer_3_GGT,kmer_3_GTA,kmer_3_GTC,kmer_3_GTG,kmer_3_GTT,kmer_3_TAA,kmer_3_TAC,kmer_3_TAG,kmer_3_TAT,kmer_3_TCA,kmer_3_TCC,kmer_3_TCG,kmer_3_TCT,kmer_3_TGA,kmer_3_TGC,kmer_3_TGG,kmer_3_TGT,kmer_3_TTA,kmer_3_TTC,kmer_3_TTG,kmer_3_TTT,DCC_Twist.Tilt.lag.1,DCC_Twist.Tilt.lag.2,DCC_Tilt.Twist.lag.1,DCC_Tilt.Twist.lag.2,DACC_Twist.lag1,DACC_Twist.lag2,DACC_Tilt.lag1,DACC_Tilt.lag2,DACC_Twist.Tilt.lag.1,DACC_Twist.Tilt.lag.2,DACC_Tilt.Twist.lag.1,DACC_Tilt.Twist.lag.2,TCC_Dnase I.Nucleosome.lag.1,TCC_Dnase I.Nucleosome.lag.2,TCC_Nucleosome.Dnase I.lag.1,TCC_Nucleosome.Dnase I.lag.2,TACC_Dnase I.lag1,TACC_Dnase I.lag2,TACC_Nucleosome.lag1,TACC_Nucleosome.lag2,TACC_Dnase I.Nucleosome.lag.1,TACC_Dnase I.Nucleosome.lag.2,TACC_Nucleosome.Dnase I.lag.1,TACC_Nucleosome.Dnase I.lag.2,PseDNC_Xc1.AA,PseDNC_Xc1.AC,PseDNC_Xc1.AG,PseDNC_Xc1.AT,PseDNC_Xc1.CA,PseDNC_Xc1.CC,PseDNC_Xc1.CG,PseDNC_Xc1.CT,PseDNC_Xc1.GA,PseDNC_Xc1.GC,PseDNC_Xc1.GG,PseDNC_Xc1.GT,PseDNC_Xc1.TA,PseDNC_Xc1.TC,PseDNC_Xc1.TG,PseDNC_Xc1.TT,PseDNC_Xc2.lambda.1,PseDNC_Xc2.lambda.2,PseDNC_Xc2.lambda.3,PseKNC_3_Xc1.AAA,PseKNC_3_Xc1.AAC,PseKNC_3_Xc1.AAG,PseKNC_3_Xc1.AAT,PseKNC_3_Xc1.ACA,PseKNC_3_Xc1.ACC,PseKNC_3_Xc1.ACG,PseKNC_3_Xc1.ACT,PseKNC_3_Xc1.AGA,PseKNC_3_Xc1.AGC,PseKNC_3_Xc1.AGG,PseKNC_3_Xc1.AGT,PseKNC_3_Xc1.ATA,PseKNC_3_Xc1.ATC,PseKNC_3_Xc1.ATG,PseKNC_3_Xc1.ATT,PseKNC_3_Xc1.CAA,PseKNC_3_Xc1.CAC,PseKNC_3_Xc1.CAG,PseKNC_3_Xc1.CAT,PseKNC_3_Xc1.CCA,PseKNC_3_Xc1.CCC,PseKNC_3_Xc1.CCG,PseKNC_3_Xc1.CCT,PseKNC_3_Xc1.CGA,PseKNC_3_Xc1.CGC,PseKNC_3_Xc1.CGG,PseKNC_3_Xc1.CGT,PseKNC_3_Xc1.CTA,PseKNC_3_Xc1.CTC,PseKNC_3_Xc1.CTG,PseKNC_3_Xc1.CTT,PseKNC_3_Xc1.GAA,PseKNC_3_Xc1.GAC,PseKNC_3_Xc1.GAG,PseKNC_3_Xc1.GAT,PseKNC_3_Xc1.GCA,PseKNC_3_Xc1.GCC,PseKNC_3_Xc1.GCG,PseKNC_3_Xc1.GCT,PseKNC_3_Xc1.GGA,PseKNC_3_Xc1.GGC,PseKNC_3_Xc1.GGG,PseKNC_3_Xc1.GGT,PseKNC_3_Xc1.GTA,PseKNC_3_Xc1.GTC,PseKNC_3_Xc1.GTG,PseKNC_3_Xc1.GTT,PseKNC_3_Xc1.TAA,PseKNC_3_Xc1.TAC,PseKNC_3_Xc1.TAG,PseKNC_3_Xc1.TAT,PseKNC_3_Xc1.TCA,PseKNC_3_Xc1.TCC,PseKNC_3_Xc1.TCG,PseKNC_3_Xc1.TCT,PseKNC_3_Xc1.TGA,PseKNC_3_Xc1.TGC,PseKNC_3_Xc1.TGG,PseKNC_3_Xc1.TGT,PseKNC_3_Xc1.TTA,PseKNC_3_Xc1.TTC,PseKNC_3_Xc1.TTG,PseKNC_3_Xc1.TTT,PseKNC_3_Xc2.lambda.1,PseKNC_3_Xc2.lambda.2,PseKNC_3_Xc2.lambda.3,PseKNC_5_Xc1.AAA,PseKNC_5_Xc1.AAC,PseKNC_5_Xc1.AAG,PseKNC_5_Xc1.AAT,PseKNC_5_Xc1.ACA,PseKNC_5_Xc1.ACC,PseKNC_5_Xc1.ACG,PseKNC_5_Xc1.ACT,PseKNC_5_Xc1.AGA,PseKNC_5_Xc1.AGC,PseKNC_5_Xc1.AGG,PseKNC_5_Xc1.AGT,PseKNC_5_Xc1.ATA,PseKNC_5_Xc1.ATC,PseKNC_5_Xc1.ATG,PseKNC_5_Xc1.ATT,PseKNC_5_Xc1.CAA,PseKNC_5_Xc1.CAC,PseKNC_5_Xc1.CAG,PseKNC_5_Xc1.CAT,PseKNC_5_Xc1.CCA,PseKNC_5_Xc1.CCC,PseKNC_5_Xc1.CCG,PseKNC_5_Xc1.CCT,PseKNC_5_Xc1.CGA,PseKNC_5_Xc1.CGC,PseKNC_5_Xc1.CGG,PseKNC_5_Xc1.CGT,PseKNC_5_Xc1.CTA,PseKNC_5_Xc1.CTC,PseKNC_5_Xc1.CTG,PseKNC_5_Xc1.CTT,PseKNC_5_Xc1.GAA,PseKNC_5_Xc1.GAC,PseKNC_5_Xc1.GAG,PseKNC_5_Xc1.GAT,PseKNC_5_Xc1.GCA,PseKNC_5_Xc1.GCC,PseKNC_5_Xc1.GCG,PseKNC_5_Xc1.GCT,PseKNC_5_Xc1.GGA,PseKNC_5_Xc1.GGC,PseKNC_5_Xc1.GGG,PseKNC_5_Xc1.GGT,PseKNC_5_Xc1.GTA,PseKNC_5_Xc1.GTC,PseKNC_5_Xc1.GTG,PseKNC_5_Xc1.GTT,PseKNC_5_Xc1.TAA,PseKNC_5_Xc1.TAC,PseKNC_5_Xc1.TAG,PseKNC_5_Xc1.TAT,PseKNC_5_Xc1.TCA,PseKNC_5_Xc1.TCC,PseKNC_5_Xc1.TCG,PseKNC_5_Xc1.TCT,PseKNC_5_Xc1.TGA,PseKNC_5_Xc1.TGC,PseKNC_5_Xc1.TGG,PseKNC_5_Xc1.TGT,PseKNC_5_Xc1.TTA,PseKNC_5_Xc1.TTC,PseKNC_5_Xc1.TTG,PseKNC_5_Xc1.TTT,PseKNC_5_Xc2.lambda.1,PseKNC_5_Xc2.lambda.2,PseKNC_5_Xc2.lambda.3,PseKNC_5_Xc2.lambda.4,PseKNC_5_Xc2.lambda.5,C3s,A3s,G3s,CAI,CBI,Fop,Nc,GC3s,GC,L_sym,L_aa,Gravy,Aromo,X
HL41_00015,44,21,102,66,29,14,37,5,99,36,127,93,61,14,89,65,6,6,23,9,12,2,6,1,27,11,46,18,19,8,26,13,7,2,11,9,2,0,10,2,12,2,12,11,0,1,3,1,20,7,45,26,9,7,19,1,31,17,37,42,29,3,31,30,11,6,23,21,6,5,2,1,29,6,32,22,13,2,29,21,-0.398,0.02,-0.231,-0.032,-0.403,0.011,-0.187,-0.043,-0.398,0.02,-0.231,-0.032,-0.135,-0.088,0.003,-0.122,-0.086,0.057,0.413,0.17,-0.135,-0.088,0.003,-0.122,0.038,0.018,0.089,0.058,0.025,0.012,0.032,0.004,0.087,0.031,0.111,0.081,0.053,0.012,0.078,0.057,0.084,0.065,0.062,0.002,0.002,0.006,0.002,0.003,0.001,0.002,0,0.007,0.003,0.013,0.005,0.005,0.002,0.007,0.004,0.002,0.001,0.003,0.002,0.001,0,0.003,0.001,0.003,0.001,0.003,0.003,0,0,0.001,0,0.006,0.002,0.012,0.007,0.002,0.002,0.005,0,0.009,0.005,0.01,0.012,0.008,0.001,0.009,0.008,0.003,0.002,0.006,0.006,0.002,0.001,0.001,0,0.008,0.002,0.009,0.006,0.004,0.001,0.008,0.006,0.303,0.23,0.218,0.001,0.001,0.004,0.002,0.002,0,0.001,0,0.005,0.002,0.009,0.003,0.004,0.002,0.005,0.002,0.001,0,0.002,0.002,0,0,0.002,0,0.002,0,0.002,0.002,0,0,0.001,0,0.004,0.001,0.009,0.005,0.002,0.001,0.004,0,0.006,0.003,0.007,0.008,0.005,0.001,0.006,0.006,0.002,0.001,0.004,0.004,0.001,0.001,0,0,0.005,0.001,0.006,0.004,0.002,0,0.005,0.004,0.208,0.157,0.149,0.166,0.149,0.0611,0.2342,0.6938,0.131,-0.327,0.223,30.98,0.564,0.488,282,300,-0.039,0.083333,NA
HL41_00025,39,28,105,61,31,25,33,14,92,40,124,105,70,10,100,79,3,8,25,3,13,7,6,2,17,9,51,27,21,4,23,13,4,2,13,12,5,3,9,8,13,4,8,8,4,0,7,3,19,7,41,25,10,11,16,3,39,14,34,37,26,5,36,38,13,11,26,20,3,4,2,1,23,13,31,33,19,1,34,25,-0.375,0.037,-0.276,0.036,-0.415,0.051,-0.192,0.016,-0.375,0.037,-0.276,0.036,-0.093,-0.04,0.027,-0.062,-0.019,-0.003,0.38,0.089,-0.093,-0.04,0.027,-0.062,0.032,0.023,0.086,0.05,0.025,0.021,0.027,0.012,0.076,0.033,0.102,0.086,0.058,0.008,0.082,0.065,0.085,0.063,0.066,0.001,0.002,0.006,0.001,0.003,0.002,0.002,0.001,0.004,0.002,0.013,0.007,0.005,0.001,0.006,0.003,0.001,0.001,0.003,0.003,0.001,0.001,0.002,0.002,0.003,0.001,0.002,0.002,0.001,0,0.002,0.001,0.005,0.002,0.011,0.006,0.003,0.003,0.004,0.001,0.01,0.004,0.009,0.009,0.007,0.001,0.009,0.01,0.003,0.003,0.007,0.005,0.001,0.001,0.001,0,0.006,0.003,0.008,0.008,0.005,0,0.009,0.006,0.304,0.219,0.232,0.001,0.001,0.004,0.001,0.002,0.001,0.001,0,0.003,0.002,0.009,0.005,0.004,0.001,0.004,0.002,0.001,0,0.002,0.002,0.001,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0,0.001,0.001,0.003,0.001,0.007,0.004,0.002,0.002,0.003,0.001,0.007,0.002,0.006,0.006,0.005,0.001,0.006,0.007,0.002,0.002,0.005,0.004,0.001,0.001,0,0,0.004,0.002,0.005,0.006,0.003,0,0.006,0.004,0.207,0.149,0.158,0.159,0.16,0.0606,0.2227,0.6395,0.12,-0.336,0.202,31.19,0.529,0.486,312,318,0.022956,0.069182,NA
HL41_00035,40,17,48,37,14,13,8,17,38,12,41,33,49,10,28,44,11,6,17,6,2,4,4,7,19,4,17,7,18,4,8,7,4,1,4,5,3,3,1,6,3,0,3,2,5,1,5,6,8,6,7,17,3,5,1,3,8,3,12,18,14,3,1,15,17,4,20,8,6,1,2,1,8,5,9,6,12,2,14,16,-0.318,-0.051,-0.191,-0.125,-0.319,-0.05,-0.183,-0.137,-0.318,-0.051,-0.191,-0.125,-0.063,-0.022,-0.117,-0.158,0.06,0.016,0.405,0.084,-0.063,-0.022,-0.117,-0.158,0.069,0.029,0.083,0.064,0.024,0.022,0.014,0.029,0.066,0.021,0.071,0.057,0.085,0.017,0.048,0.076,0.085,0.074,0.065,0.006,0.003,0.009,0.003,0.001,0.002,0.002,0.004,0.01,0.002,0.009,0.004,0.01,0.002,0.004,0.004,0.002,0.001,0.002,0.003,0.002,0.002,0.001,0.003,0.002,0,0.002,0.001,0.003,0.001,0.003,0.003,0.004,0.003,0.004,0.009,0.002,0.003,0.001,0.002,0.004,0.002,0.006,0.01,0.007,0.002,0.001,0.008,0.009,0.002,0.011,0.004,0.003,0.001,0.001,0.001,0.004,0.003,0.005,0.003,0.006,0.001,0.007,0.009,0.289,0.254,0.218,0.004,0.002,0.006,0.002,0.001,0.001,0.001,0.003,0.007,0.001,0.006,0.003,0.006,0.001,0.003,0.003,0.001,0,0.001,0.002,0.001,0.001,0,0.002,0.001,0,0.001,0.001,0.002,0,0.002,0.002,0.003,0.002,0.003,0.006,0.001,0.002,0,0.001,0.003,0.001,0.004,0.006,0.005,0.001,0,0.005,0.006,0.001,0.007,0.003,0.002,0,0.001,0,0.003,0.002,0.003,0.002,0.004,0.001,0.005,0.006,0.194,0.17,0.146,0.165,0.163,0.1638,0.3333,0.3535,0.189,-0.151,0.315,41.23,0.37,0.394,146,149,0.281208,0.067114,NA
HL41_00040,78,43,53,69,41,49,18,77,43,33,57,52,81,60,57,130,33,19,10,16,5,17,6,15,10,12,19,12,24,20,8,17,11,7,13,10,11,9,5,24,3,4,8,3,11,16,15,35,9,5,8,20,6,12,1,14,18,8,9,22,13,4,12,23,25,12,22,22,19,11,6,24,12,9,21,15,33,20,22,55,-0.23,-0.085,-0.239,-0.074,-0.288,-0.088,-0.178,-0.095,-0.23,-0.085,-0.239,-0.074,-0.035,0.004,-0.111,-0.115,0.265,0.117,0.591,0.216,-0.035,0.004,-0.111,-0.115,0.065,0.036,0.044,0.058,0.034,0.041,0.015,0.065,0.036,0.028,0.048,0.044,0.068,0.05,0.048,0.109,0.079,0.07,0.062,0.009,0.005,0.003,0.004,0.001,0.005,0.002,0.004,0.003,0.003,0.005,0.003,0.006,0.005,0.002,0.005,0.003,0.002,0.003,0.003,0.003,0.002,0.001,0.006,0.001,0.001,0.002,0.001,0.003,0.004,0.004,0.009,0.002,0.001,0.002,0.005,0.002,0.003,0,0.004,0.005,0.002,0.002,0.006,0.003,0.001,0.003,0.006,0.007,0.003,0.006,0.006,0.005,0.003,0.002,0.006,0.003,0.002,0.006,0.004,0.009,0.005,0.006,0.015,0.283,0.248,0.218,0.006,0.003,0.002,0.003,0.001,0.003,0.001,0.003,0.002,0.002,0.003,0.002,0.004,0.004,0.001,0.003,0.002,0.001,0.002,0.002,0.002,0.002,0.001,0.004,0.001,0.001,0.001,0.001,0.002,0.003,0.003,0.006,0.002,0.001,0.001,0.004,0.001,0.002,0,0.003,0.003,0.001,0.002,0.004,0.002,0.001,0.002,0.004,0.005,0.002,0.004,0.004,0.003,0.002,0.001,0.004,0.002,0.002,0.004,0.003,0.006,0.004,0.004,0.01,0.193,0.169,0.149,0.159,0.159,0.2456,0.3475,0.2027,0.149,0.016,0.393,49.02,0.374,0.393,305,313,1.140894,0.092652,NA
HL41_00045,95,37,57,47,26,22,9,47,61,17,21,29,53,28,42,65,47,15,23,10,8,13,3,13,33,5,11,7,14,14,10,9,8,2,5,11,5,3,0,14,5,1,0,3,11,5,8,23,21,10,16,14,4,4,2,7,10,3,4,4,7,6,7,9,19,10,13,11,9,2,4,13,13,8,6,15,21,3,17,24,-0.202,-0.001,-0.224,0.029,-0.301,0.038,-0.151,0.004,-0.202,-0.001,-0.224,0.029,-0.21,-0.121,-0.335,-0.301,0.333,0.145,0.527,0.152,-0.21,-0.121,-0.335,-0.301,0.116,0.045,0.069,0.057,0.032,0.027,0.011,0.057,0.074,0.021,0.026,0.035,0.064,0.034,0.051,0.079,0.077,0.062,0.064,0.019,0.006,0.009,0.004,0.003,0.005,0.001,0.005,0.013,0.002,0.004,0.003,0.006,0.006,0.004,0.004,0.003,0.001,0.002,0.004,0.002,0.001,0,0.006,0.002,0,0,0.001,0.004,0.002,0.003,0.009,0.008,0.004,0.006,0.006,0.002,0.002,0.001,0.003,0.004,0.001,0.002,0.002,0.003,0.002,0.003,0.004,0.008,0.004,0.005,0.004,0.004,0.001,0.002,0.005,0.005,0.003,0.002,0.006,0.008,0.001,0.007,0.01,0.282,0.225,0.23,0.013,0.004,0.006,0.003,0.002,0.004,0.001,0.004,0.009,0.001,0.003,0.002,0.004,0.004,0.003,0.002,0.002,0.001,0.001,0.003,0.001,0.001,0,0.004,0.001,0,0,0.001,0.003,0.001,0.002,0.006,0.006,0.003,0.004,0.004,0.001,0.001,0.001,0.002,0.003,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.005,0.003,0.004,0.003,0.002,0.001,0.001,0.004,0.004,0.002,0.002,0.004,0.006,0.001,0.005,0.007,0.192,0.153,0.157,0.163,0.157,0.2875,0.4383,0.1884,0.196,-0.016,0.406,42.45,0.34,0.355,212,218,-0.087615,0.091743,NA
HL41_00050,60,20,27,38,22,13,7,21,26,10,15,24,37,20,26,35,32,7,10,10,10,4,3,3,11,5,6,5,14,9,11,4,5,3,3,11,2,4,0,7,1,2,1,3,6,5,5,5,11,6,1,8,1,3,2,4,2,1,5,7,7,3,4,10,12,4,13,8,9,2,2,7,12,2,3,9,10,3,6,16,-0.345,0.063,-0.271,0.037,-0.422,0.073,-0.185,0.012,-0.345,0.063,-0.271,0.037,-0.211,-0.132,-0.208,-0.157,0.453,0.291,0.649,0.264,-0.211,-0.132,-0.208,-0.157,0.117,0.039,0.053,0.074,0.043,0.025,0.014,0.041,0.051,0.019,0.029,0.047,0.072,0.039,0.051,0.068,0.086,0.067,0.066,0.02,0.004,0.006,0.006,0.006,0.002,0.002,0.002,0.007,0.003,0.004,0.003,0.009,0.006,0.007,0.002,0.003,0.002,0.002,0.007,0.001,0.002,0,0.004,0.001,0.001,0.001,0.002,0.004,0.003,0.003,0.003,0.007,0.004,0.001,0.005,0.001,0.002,0.001,0.002,0.001,0.001,0.003,0.004,0.004,0.002,0.002,0.006,0.007,0.002,0.008,0.005,0.006,0.001,0.001,0.004,0.007,0.001,0.002,0.006,0.006,0.002,0.004,0.01,0.297,0.23,0.228,0.013,0.003,0.004,0.004,0.004,0.002,0.001,0.001,0.005,0.002,0.002,0.002,0.006,0.004,0.005,0.002,0.002,0.001,0.001,0.005,0.001,0.002,0,0.003,0,0.001,0,0.001,0.002,0.002,0.002,0.002,0.005,0.002,0,0.003,0,0.001,0.001,0.002,0.001,0,0.002,0.003,0.003,0.001,0.002,0.004,0.005,0.002,0.005,0.003,0.004,0.001,0.001,0.003,0.005,0.001,0.001,0.004,0.004,0.001,0.002,0.007,0.198,0.153,0.152,0.174,0.16,0.2264,0.43,0.2289,0.195,0.044,0.431,50.56,0.331,0.346,130,133,0.029323,0.052632,NA
HL41_00070,183,81,143,82,86,98,29,106,111,65,91,68,108,75,73,130,83,34,47,19,20,34,11,16,57,21,48,16,21,30,12,19,30,10,28,18,29,22,6,41,10,6,7,6,23,25,24,34,37,14,34,26,15,20,6,24,25,22,13,31,22,4,16,26,33,23,34,18,22,22,6,25,19,16,23,15,42,16,21,51,-0.201,-0.031,-0.206,-0.025,-0.282,-0.01,-0.142,-0.066,-0.201,-0.031,-0.206,-0.025,-0.211,-0.157,-0.287,-0.206,0.248,0.16,0.597,0.22,-0.211,-0.157,-0.287,-0.206,0.096,0.043,0.075,0.043,0.045,0.052,0.015,0.056,0.058,0.034,0.048,0.036,0.057,0.039,0.038,0.068,0.073,0.063,0.059,0.015,0.006,0.008,0.003,0.004,0.006,0.002,0.003,0.01,0.004,0.008,0.003,0.004,0.005,0.002,0.003,0.005,0.002,0.005,0.003,0.005,0.004,0.001,0.007,0.002,0.001,0.001,0.001,0.004,0.004,0.004,0.006,0.007,0.002,0.006,0.005,0.003,0.004,0.001,0.004,0.004,0.004,0.002,0.005,0.004,0.001,0.003,0.005,0.006,0.004,0.006,0.003,0.004,0.004,0.001,0.004,0.003,0.003,0.004,0.003,0.007,0.003,0.004,0.009,0.276,0.236,0.219,0.01,0.004,0.006,0.002,0.002,0.004,0.001,0.002,0.007,0.003,0.006,0.002,0.003,0.004,0.001,0.002,0.004,0.001,0.003,0.002,0.004,0.003,0.001,0.005,0.001,0.001,0.001,0.001,0.003,0.003,0.003,0.004,0.004,0.002,0.004,0.003,0.002,0.002,0.001,0.003,0.003,0.003,0.002,0.004,0.003,0,0.002,0.003,0.004,0.003,0.004,0.002,0.003,0.003,0.001,0.003,0.002,0.002,0.003,0.002,0.005,0.002,0.003,0.006,0.19,0.162,0.15,0.16,0.154,0.2759,0.4102,0.2166,0.196,-0.018,0.401,46.49,0.381,0.428,499,509,-0.153438,0.072692,NA
HL41_00075,15,13,16,21,11,22,13,36,14,25,27,26,25,22,36,52,3,5,5,1,0,8,0,5,7,3,4,2,0,10,9,2,2,0,4,5,7,5,3,7,1,5,4,3,4,7,8,17,7,1,1,5,2,6,4,13,2,5,3,17,5,1,7,13,3,7,6,9,2,3,6,11,4,12,16,4,16,4,12,20,-0.202,-0.099,-0.237,-0.087,-0.265,-0.131,-0.21,-0.167,-0.202,-0.099,-0.237,-0.087,-0.033,-0.019,0.003,-0.061,-0.006,0.073,0.47,0.033,-0.033,-0.019,0.003,-0.061,0.032,0.028,0.034,0.045,0.023,0.047,0.028,0.076,0.03,0.053,0.057,0.055,0.053,0.047,0.076,0.11,0.079,0.07,0.057,0.002,0.003,0.003,0.001,0,0.005,0,0.003,0.005,0.002,0.003,0.001,0,0.007,0.006,0.001,0.001,0,0.003,0.003,0.005,0.003,0.002,0.005,0.001,0.003,0.003,0.002,0.003,0.005,0.005,0.011,0.005,0.001,0.001,0.003,0.001,0.004,0.003,0.009,0.001,0.003,0.002,0.011,0.003,0.001,0.005,0.009,0.002,0.005,0.004,0.006,0.001,0.002,0.004,0.007,0.003,0.008,0.011,0.003,0.011,0.003,0.008,0.013,0.288,0.254,0.206,0.001,0.002,0.002,0,0,0.004,0,0.002,0.003,0.001,0.002,0.001,0,0.005,0.004,0.001,0.001,0,0.002,0.002,0.003,0.002,0.001,0.003,0,0.002,0.002,0.001,0.002,0.003,0.004,0.008,0.003,0,0,0.002,0.001,0.003,0.002,0.006,0.001,0.002,0.001,0.008,0.002,0,0.003,0.006,0.001,0.003,0.003,0.004,0.001,0.001,0.003,0.005,0.002,0.005,0.007,0.002,0.007,0.002,0.005,0.009,0.194,0.17,0.138,0.165,0.164,0.2661,0.1776,0.0833,0.283,0.284,0.559,29.51,0.314,0.468,118,124,1.212903,0.048387,NA
HL41_00080,45,33,35,46,28,42,12,69,29,31,45,44,57,45,57,134,13,11,15,5,7,13,4,9,9,6,13,7,8,9,12,17,6,6,5,11,10,6,4,22,4,1,2,5,9,12,10,38,12,3,5,9,5,10,0,16,9,10,9,17,6,7,11,20,14,13,10,20,6,13,4,22,7,14,21,15,34,17,24,59,-0.19,-0.006,-0.27,0.006,-0.304,0,-0.168,-0.008,-0.19,-0.006,-0.27,0.006,0.025,0.015,0.046,0.012,0.192,0.04,0.6,0.167,0.025,0.015,0.046,0.012,0.048,0.035,0.037,0.049,0.03,0.045,0.013,0.073,0.031,0.033,0.048,0.047,0.06,0.048,0.06,0.142,0.078,0.062,0.063,0.004,0.004,0.005,0.002,0.002,0.004,0.001,0.003,0.003,0.002,0.004,0.002,0.003,0.003,0.004,0.006,0.002,0.002,0.002,0.004,0.003,0.002,0.001,0.008,0.001,0,0.001,0.002,0.003,0.004,0.003,0.013,0.004,0.001,0.002,0.003,0.002,0.003,0,0.006,0.003,0.003,0.003,0.006,0.002,0.002,0.004,0.007,0.005,0.004,0.003,0.007,0.002,0.004,0.001,0.008,0.002,0.005,0.007,0.005,0.012,0.006,0.008,0.02,0.284,0.227,0.229,0.003,0.003,0.004,0.001,0.002,0.003,0.001,0.002,0.002,0.001,0.003,0.002,0.002,0.002,0.003,0.004,0.001,0.001,0.001,0.003,0.002,0.001,0.001,0.005,0.001,0,0,0.001,0.002,0.003,0.002,0.009,0.003,0.001,0.001,0.002,0.001,0.002,0,0.004,0.002,0.002,0.002,0.004,0.001,0.002,0.003,0.005,0.003,0.003,0.002,0.005,0.001,0.003,0.001,0.005,0.002,0.003,0.005,0.004,0.008,0.004,0.006,0.014,0.193,0.154,0.156,0.161,0.158,0.2202,0.224,0.2609,0.17,-0.096,0.324,44.89,0.373,0.4,241,250,0.9036,0.148,NA
HL41_00085,54,15,29,28,18,15,6,25,25,14,32,25,28,20,30,79,32,6,11,5,2,4,3,6,10,4,8,6,7,8,3,10,5,3,6,4,7,2,0,6,2,1,1,2,3,2,6,14,9,4,4,8,4,4,3,3,6,5,8,13,3,2,6,14,8,2,8,10,5,5,0,10,7,4,15,4,15,8,15,41,-0.174,-0.013,-0.171,-0.051,-0.219,-0.062,-0.135,-0.031,-0.174,-0.013,-0.171,-0.051,-0.06,-0.16,-0.042,-0.197,0.418,0.322,0.714,0.292,-0.06,-0.16,-0.042,-0.197,0.099,0.027,0.053,0.051,0.033,0.027,0.011,0.046,0.046,0.026,0.058,0.046,0.051,0.037,0.055,0.144,0.07,0.063,0.058,0.02,0.004,0.007,0.003,0.001,0.003,0.002,0.004,0.006,0.003,0.005,0.004,0.004,0.005,0.002,0.006,0.003,0.002,0.004,0.003,0.004,0.001,0,0.004,0.001,0.001,0.001,0.001,0.002,0.001,0.004,0.009,0.006,0.003,0.003,0.005,0.003,0.003,0.002,0.002,0.004,0.003,0.005,0.008,0.002,0.001,0.004,0.009,0.005,0.001,0.005,0.006,0.003,0.003,0,0.006,0.004,0.003,0.009,0.003,0.009,0.005,0.009,0.026,0.265,0.241,0.218,0.014,0.003,0.005,0.002,0.001,0.002,0.001,0.003,0.004,0.002,0.003,0.003,0.003,0.003,0.001,0.004,0.002,0.001,0.003,0.002,0.003,0.001,0,0.003,0.001,0,0,0.001,0.001,0.001,0.003,0.006,0.004,0.002,0.002,0.003,0.002,0.002,0.001,0.001,0.003,0.002,0.003,0.006,0.001,0.001,0.003,0.006,0.003,0.001,0.003,0.004,0.002,0.002,0,0.004,0.003,0.002,0.007,0.002,0.007,0.003,0.007,0.018,0.183,0.166,0.149,0.164,0.146,0.1949,0.3274,0.3061,0.221,0.019,0.417,51.93,0.368,0.363,144,147,0.640816,0.156463,NA
